X.1,X,collar_id,masterID,x_,y_,t_,temp_c,fate,sl_,speed,julian,week,avg.bc,NDVI,total_precipitation
89,X21819.1.89,21819.1,R02M,20.0892785,14.8944163,2017-01-24T22:00:09Z,44,mortality,0.00489818895511463,1.34936334851643e-6,24,4,4.5,1204,1.8626451e-9
90,X21819.1.90,21819.1,R02M,20.0930085,14.8975911,2017-01-24T23:00:39Z,39,mortality,0.00554382428743948,1.55289195726596e-6,24,4,4.5,1296,1.8626451e-9
91,X21819.1.91,21819.1,R02M,20.0944627,14.9029408,2017-01-25T00:00:09Z,29,mortality,0.0159231170126972,4.42431703603701e-6,24,4,4.5,1402,1.8626451e-9
92,X21819.1.92,21819.1,R02M,20.0786585,14.9009984,2017-01-25T01:00:08Z,28,mortality,0.0054709435566465,1.51970654351292e-6,24,4,4.5,1419,1.8626451e-9
93,X21819.1.93,21819.1,R02M,20.0732847,14.899972,2017-01-25T02:00:08Z,26,mortality,0.0129433051211797,3.56466679184239e-6,24,4,4.5,1476,1.8626451e-9
94,X21819.1.94,21819.1,R02M,20.0615582,14.9054509,2017-01-25T03:00:39Z,24,mortality,0.0105072122439782,2.94402136284063e-6,24,4,4.5,1466,1.8626451e-9
95,X21819.1.95,21819.1,R02M,20.0553099,14.8970034,2017-01-25T04:00:08Z,23,mortality,0.00243143540526849,6.75211165028739e-7,24,4,4.5,1510,1.8626451e-9
96,X21819.1.96,21819.1,R02M,20.0533357,14.8955841,2017-01-25T05:00:09Z,23,mortality,0.00643332152158048,1.78753029218685e-6,24,4,4.5,1486,1.8626451e-9
97,X21819.1.97,21819.1,R02M,20.0485755,14.8912565,2017-01-25T06:00:08Z,23,mortality,0.00180965201627538,4.98389428883331e-7,25,4,4.5,1497,1.8626451e-9
98,X21819.1.98,21819.1,R02M,20.0496294,14.8897854,2017-01-25T07:00:39Z,21,mortality,7.71038260992826e-6,2.15977103919559e-9,25,4,4.5,1493,1.8626451e-9
99,X21819.1.99,21819.1,R02M,20.049623,14.8897811,2017-01-25T08:00:09Z,20,mortality,2.35773196089492e-5,6.55107519003868e-9,25,4,4.5,1493,1.8626451e-9
100,X21819.1.100,21819.1,R02M,20.0496405,14.8897969,2017-01-25T09:00:08Z,21,mortality,0.00105661404968723,2.93422396469656e-7,25,4,4.5,1493,1.8626451e-9
101,X21819.1.101,21819.1,R02M,20.0489527,14.8889948,2017-01-25T10:00:09Z,20,mortality,0.00162572170127711,4.47857217982675e-7,25,4,4.5,1493,1.8626451e-9
102,X21819.1.102,21819.1,R02M,20.0493238,14.887412,2017-01-25T11:00:39Z,19,mortality,0.0213072940302147,5.96675833946084e-6,25,4,4.5,1460,1.8626451e-9
103,X21819.1.103,21819.1,R02M,20.0706138,14.8882703,2017-01-25T12:00:10Z,19,mortality,0.0149164663174633,4.11148465200201e-6,25,4,4.5,1412,1.8626451e-9
104,X21819.1.104,21819.1,R02M,20.084264,14.8942847,2017-01-25T13:00:38Z,24,mortality,2.79737376843552e-5,7.83358658200929e-9,25,4,4.5,1333,1.8626451e-9
105,X21819.1.105,21819.1,R02M,20.0842402,14.8942994,2017-01-25T14:00:09Z,29,mortality,1.24664710324563e-4,3.46290862012676e-8,25,4,4.5,1333,1.8626451e-9
106,X21819.1.106,21819.1,R02M,20.0841337,14.8943642,2017-01-25T15:00:09Z,35,mortality,0.0040544426250725,1.12592130660164e-6,25,4,4.5,1333,1.8626451e-9
107,X21819.1.107,21819.1,R02M,20.0825991,14.8906114,2017-01-25T16:00:10Z,37,mortality,3.47079241684512e-5,9.56404634016291e-9,25,4,4.5,1381,1.8626451e-9
108,X21819.1.108,21819.1,R02M,20.0826299,14.8906274,2017-01-25T17:00:39Z,41,mortality,4.67428069345333e-5,1.30932232309617e-8,25,4,4.5,1381,1.8626451e-9
109,X21819.1.109,21819.1,R02M,20.0826759,14.8906357,2017-01-25T18:00:09Z,39,mortality,3.7706895923113e-5,1.02996164772229e-8,25,4,4.5,1381,4.4703484e-8
110,X21819.1.110,21819.1,R02M,20.0826584,14.8906023,2017-01-25T19:01:10Z,39,mortality,3.97915820251953e-5,1.1240559894123e-8,25,4,4.5,1381,4.4703484e-8
111,X21819.1.111,21819.1,R02M,20.0826188,14.8905984,2017-01-25T20:00:10Z,37,mortality,0.00405275430787622,1.12639085822018e-6,25,4,4.5,1381,4.4703484e-8
112,X21819.1.112,21819.1,R02M,20.084264,14.8943022,2017-01-25T21:00:08Z,44,mortality,0.00127843633005417,3.5492402278017e-7,25,4,4.5,1333,4.4703484e-8
113,X21819.1.113,21819.1,R02M,20.0832172,14.8935683,2017-01-25T22:00:10Z,39,mortality,0.00852729642559745,2.34976479074055e-6,25,4,4.5,1378,4.4703484e-8
114,X21819.1.114,21819.1,R02M,20.0873429,14.9010311,2017-01-25T23:00:39Z,38,mortality,0.00665568860599713,1.86433854509724e-6,25,4,4.5,1423,4.4703484e-8
115,X21819.1.115,21819.1,R02M,20.093028,14.904492,2017-01-26T00:00:09Z,30,mortality,0.00547606732244809,1.51859881376819e-6,25,4,4.5,1459,4.4703484e-8
116,X21819.1.116,21819.1,R02M,20.0952214,14.8994744,2017-01-26T01:00:15Z,27,mortality,0.0029470954192221,8.20004290267695e-7,25,4,4.5,1363,4.4703484e-8
117,X21819.1.117,21819.1,R02M,20.0923184,14.8989665,2017-01-26T02:00:09Z,25,mortality,1.56841894913933e-4,4.32071335851054e-8,25,4,4.5,1426,4.4703484e-8
118,X21819.1.118,21819.1,R02M,20.0922311,14.8990968,2017-01-26T03:00:39Z,24,mortality,0.00154511996297964,4.32927980661149e-7,25,4,4.5,1426,4.4703484e-8
119,X21819.1.119,21819.1,R02M,20.0906892,14.8989971,2017-01-26T04:00:08Z,26,mortality,0.00272566073640997,7.56917727411822e-7,25,4,4.5,1403,4.4703484e-8
